Scientific name,Date,380 [nm],385 ,390 ,395 ,400 ,405 ,410 ,415 ,420 ,425 ,430 ,435 ,440 ,445 ,450 ,455 ,460 ,465 ,470 ,475 ,480 ,485 ,490 ,495 ,500 ,505 ,510 ,515 ,520 ,525 ,530 ,535 ,540 ,545 ,550 ,555 ,560 ,565 ,570 ,575 ,580 ,585 ,590 ,595 ,600 ,605 ,610 ,615 ,620 ,625 ,630 ,635 ,640 ,645 ,650 ,655 ,660 ,665 ,670 ,675 ,680 ,685 ,690 ,695 ,700 ,705 ,710 ,715 ,720 ,725 ,730 ,735 ,740 ,745 ,750 ,755 ,760 ,765 ,770 ,775 ,780 
'Camellia japonica',2014/11/5,0.14286 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00034 ,0.00037 ,0.00050 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00102 ,0.00089 ,0.00234 ,0.00417 ,0.00820 ,0.01469 ,0.02285 ,0.02999 ,0.03434 ,0.03717 ,0.03862 ,0.04000 ,0.04055 ,0.03924 ,0.03625 ,0.03081 ,0.02569 ,0.02194 ,0.01864 ,0.01641 ,0.01556 ,0.01471 ,0.01384 ,0.01191 ,0.01053 ,0.00909 ,0.00813 ,0.00770 ,0.00725 ,0.00626 ,0.00410 ,0.00302 ,0.00254 ,0.00202 ,0.00144 ,0.00078 ,0.00084 ,0.00092 ,0.00100 ,0.00332 ,0.01218 ,0.03274 ,0.06154 ,0.09155 ,0.12449 ,0.15738 ,0.19308 ,0.23129 ,0.26772 ,0.29333 ,0.32020 ,0.33155 ,0.33728 ,0.33766 ,0.34058 ,0.33607 ,0.33028 ,0.32632 
'Camellia rusticana',2014/12/15,0.14286 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00044 ,0.00034 ,0.00037 ,0.00050 ,0.00064 ,0.00081 ,0.00102 ,0.00113 ,0.00111 ,0.00102 ,0.00179 ,0.00389 ,0.00625 ,0.01199 ,0.01880 ,0.02787 ,0.03535 ,0.04058 ,0.04328 ,0.04564 ,0.04741 ,0.04787 ,0.04700 ,0.04398 ,0.03900 ,0.03393 ,0.02925 ,0.02648 ,0.02387 ,0.02259 ,0.02130 ,0.02050 ,0.01864 ,0.01684 ,0.01444 ,0.01354 ,0.01319 ,0.01283 ,0.01082 ,0.00820 ,0.00603 ,0.00445 ,0.00337 ,0.00216 ,0.00156 ,0.00084 ,0.00092 ,0.00201 ,0.00664 ,0.02192 ,0.04775 ,0.07846 ,0.10739 ,0.13061 ,0.15981 ,0.18444 ,0.21088 ,0.23228 ,0.25333 ,0.26108 ,0.27273 ,0.27219 ,0.27273 ,0.27536 ,0.27049 ,0.25688 ,0.26316 
'Cercidiphyllum japonicum',2014/8/5,0.14286 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00125 ,0.00145 ,0.00175 ,0.00202 ,0.00222 ,0.00249 ,0.00255 ,0.00243 ,0.00305 ,0.00340 ,0.00333 ,0.00407 ,0.00625 ,0.00935 ,0.01390 ,0.02208 ,0.03290 ,0.04515 ,0.05624 ,0.06400 ,0.06874 ,0.07172 ,0.07407 ,0.07572 ,0.07461 ,0.07153 ,0.06548 ,0.05865 ,0.05266 ,0.04855 ,0.04525 ,0.04317 ,0.04209 ,0.04049 ,0.03780 ,0.03474 ,0.03155 ,0.02979 ,0.02914 ,0.02846 ,0.02563 ,0.02050 ,0.01568 ,0.01334 ,0.01146 ,0.00792 ,0.00544 ,0.00422 ,0.00459 ,0.00703 ,0.01659 ,0.04019 ,0.07503 ,0.11538 ,0.15317 ,0.18776 ,0.22276 ,0.25072 ,0.27891 ,0.29921 ,0.31556 ,0.33005 ,0.33155 ,0.33728 ,0.33766 ,0.33333 ,0.32787 ,0.32110 ,0.32632 
'Cinnamomum camphora',2014/8/5,0.14286 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00926 ,0.00435 ,0.00450 ,0.00498 ,0.00582 ,0.00657 ,0.00674 ,0.00703 ,0.00746 ,0.00766 ,0.00808 ,0.00812 ,0.00793 ,0.00887 ,0.00915 ,0.01071 ,0.01324 ,0.01737 ,0.02397 ,0.03231 ,0.04348 ,0.05249 ,0.05879 ,0.06212 ,0.06369 ,0.06519 ,0.06595 ,0.06444 ,0.05993 ,0.05441 ,0.04750 ,0.04242 ,0.03874 ,0.03630 ,0.03464 ,0.03347 ,0.03229 ,0.03055 ,0.02789 ,0.02567 ,0.02438 ,0.02364 ,0.02344 ,0.02164 ,0.01875 ,0.01689 ,0.01525 ,0.01348 ,0.01152 ,0.01011 ,0.00928 ,0.00917 ,0.01104 ,0.01549 ,0.02923 ,0.05593 ,0.08769 ,0.12500 ,0.16327 ,0.20581 ,0.24784 ,0.28231 ,0.31890 ,0.35111 ,0.36946 ,0.37968 ,0.39645 ,0.38961 ,0.39130 ,0.38525 ,0.37615 ,0.36842 
'Citrus aurantium',2014/8/22,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00063 ,0.00176 ,0.00390 ,0.00589 ,0.00728 ,0.00866 ,0.00903 ,0.00938 ,0.00928 ,0.00921 ,0.00773 ,0.00626 ,0.00485 ,0.00341 ,0.00294 ,0.00249 ,0.00201 ,0.00203 ,0.00154 ,0.00155 ,0.00105 ,0.00107 ,0.00054 ,0.00055 ,0.00056 ,0.00057 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00122 ,0.00682 ,0.01846 ,0.03345 ,0.05510 ,0.07990 ,0.10951 ,0.13946 ,0.16929 ,0.19556 ,0.21182 ,0.22460 ,0.23077 ,0.23377 ,0.22464 ,0.22951 ,0.22018 ,0.22105 
'Cornus florida',2014/8/19,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00125 ,0.00145 ,0.00131 ,0.00202 ,0.00222 ,0.00249 ,0.00255 ,0.00243 ,0.00305 ,0.00340 ,0.00333 ,0.00407 ,0.00536 ,0.00779 ,0.01181 ,0.01830 ,0.02644 ,0.03567 ,0.04339 ,0.04891 ,0.05244 ,0.05466 ,0.05679 ,0.05765 ,0.05717 ,0.05510 ,0.05055 ,0.04556 ,0.04144 ,0.03825 ,0.03580 ,0.03414 ,0.03296 ,0.03178 ,0.03055 ,0.02842 ,0.02620 ,0.02492 ,0.02474 ,0.02400 ,0.02107 ,0.01699 ,0.01327 ,0.01144 ,0.01011 ,0.00792 ,0.00544 ,0.00506 ,0.00550 ,0.00803 ,0.01770 ,0.03898 ,0.07367 ,0.11231 ,0.14789 ,0.18163 ,0.21792 ,0.25360 ,0.28571 ,0.31496 ,0.34222 ,0.35961 ,0.36364 ,0.36686 ,0.36364 ,0.36232 ,0.35246 ,0.33945 ,0.33684 
'Dendrobenthamida omeiensis',2014/12/15,0.14286 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00044 ,0.00034 ,0.00037 ,0.00050 ,0.00064 ,0.00081 ,0.00102 ,0.00113 ,0.00111 ,0.00102 ,0.00179 ,0.00312 ,0.00556 ,0.01073 ,0.01821 ,0.02787 ,0.03589 ,0.04214 ,0.04532 ,0.04714 ,0.04889 ,0.04934 ,0.04797 ,0.04398 ,0.03852 ,0.03248 ,0.02779 ,0.02452 ,0.02188 ,0.02008 ,0.01927 ,0.01845 ,0.01657 ,0.01421 ,0.01230 ,0.01192 ,0.01100 ,0.01060 ,0.00911 ,0.00644 ,0.00483 ,0.00381 ,0.00270 ,0.00216 ,0.00078 ,0.00084 ,0.00092 ,0.00201 ,0.00442 ,0.01705 ,0.04093 ,0.07385 ,0.10739 ,0.14082 ,0.18160 ,0.22190 ,0.26871 ,0.31102 ,0.34222 ,0.36453 ,0.37968 ,0.39053 ,0.38961 ,0.38406 ,0.37705 ,0.37615 ,0.37895 
'Dianthus caryophyllus',2014/12/15,0.14286 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00069 ,0.00189 ,0.00470 ,0.00892 ,0.01339 ,0.01717 ,0.01935 ,0.02056 ,0.02173 ,0.02198 ,0.02132 ,0.01885 ,0.01541 ,0.01212 ,0.00926 ,0.00785 ,0.00646 ,0.00552 ,0.00507 ,0.00461 ,0.00414 ,0.00316 ,0.00267 ,0.00217 ,0.00220 ,0.00223 ,0.00171 ,0.00117 ,0.00060 ,0.00064 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00111 ,0.00609 ,0.02183 ,0.05077 ,0.08803 ,0.13061 ,0.18402 ,0.23631 ,0.28912 ,0.34252 ,0.37778 ,0.40394 ,0.41711 ,0.43195 ,0.42208 ,0.41304 ,0.40984 ,0.38532 ,0.37895 
'Dioscorea japonica',2014/11/5,0.28571 ,0.25000 ,0.33333 ,0.50000 ,0.00000 ,0.00000 ,0.16667 ,0.11765 ,0.08696 ,0.09259 ,0.09565 ,0.09910 ,0.10336 ,0.10836 ,0.11038 ,0.10920 ,0.10836 ,0.11288 ,0.11877 ,0.12207 ,0.12386 ,0.12571 ,0.13082 ,0.14024 ,0.15446 ,0.17679 ,0.20709 ,0.24669 ,0.28437 ,0.31996 ,0.34655 ,0.36576 ,0.38136 ,0.39268 ,0.40247 ,0.41133 ,0.41909 ,0.42629 ,0.43380 ,0.43868 ,0.44369 ,0.44924 ,0.45400 ,0.45783 ,0.46197 ,0.46540 ,0.46712 ,0.47000 ,0.47059 ,0.47237 ,0.47554 ,0.47768 ,0.47836 ,0.47745 ,0.47045 ,0.47014 ,0.46833 ,0.46580 ,0.46190 ,0.46160 ,0.45963 ,0.47189 ,0.48894 ,0.49817 ,0.50341 ,0.50308 ,0.50528 ,0.50612 ,0.51574 ,0.51585 ,0.51701 ,0.52756 ,0.52444 ,0.53202 ,0.51872 ,0.53254 ,0.52597 ,0.52174 ,0.52459 ,0.51376 ,0.51579 
'Diospyros',2014/9/19,0.14286 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00073 ,0.00088 ,0.00101 ,0.00111 ,0.00099 ,0.00128 ,0.00081 ,0.00102 ,0.00113 ,0.00111 ,0.00203 ,0.00179 ,0.00312 ,0.00417 ,0.00631 ,0.00999 ,0.01449 ,0.01821 ,0.02133 ,0.02240 ,0.02357 ,0.02420 ,0.02491 ,0.02374 ,0.02175 ,0.01926 ,0.01600 ,0.01365 ,0.01226 ,0.01094 ,0.01054 ,0.01014 ,0.00974 ,0.00880 ,0.00789 ,0.00695 ,0.00704 ,0.00660 ,0.00614 ,0.00569 ,0.00469 ,0.00422 ,0.00318 ,0.00270 ,0.00216 ,0.00156 ,0.00169 ,0.00183 ,0.00201 ,0.00332 ,0.00853 ,0.02046 ,0.03692 ,0.05986 ,0.08571 ,0.12107 ,0.14986 ,0.18707 ,0.22441 ,0.25333 ,0.27586 ,0.28877 ,0.30178 ,0.29870 ,0.29710 ,0.30328 ,0.28440 ,0.28421 
